"Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"CHERP","beta.nicotinamide.adenine.dinucleotide",-8.79808862872987,3.90311665904379e-05,0.0679655116920794,0.283625466971178
"LOC101060275","beta.nicotinamide.adenine.dinucleotide",-6.55900002251739,1.53198773284196e-06,0.00908310149109332,0.363080209213819
"GPR153","X.2027",-6.4016657672068,3.91364173938019e-05,0.068018133027547,0.278743737435509
"COPE","beta.nicotinamide.adenine.dinucleotide",-6.34399493124659,2.52387252081844e-05,0.052151599641488,0.292513165741189
"TNK2","X.1288",-5.85548242575032,5.68002538989682e-05,0.0833795029541255,0.288062616603286
"PIK3CA","beta.nicotinamide.adenine.dinucleotide",-5.84690170389789,5.59651857266443e-06,0.0207755970050792,0.338474290380247
"SMIM15","X.2027",-5.71910160041016,7.58155549115487e-05,0.0958138087261436,0.268568739023609
"EDEM3","beta.nicotinamide.adenine.dinucleotide",-5.63208147577396,1.30222535415692e-07,0.00160831573004518,0.416650863728257
"ELF1","beta.nicotinamide.adenine.dinucleotide",-5.51420490581445,1.0915436951202e-07,0.00140556096995728,0.441028258236292
"C6orf203","L.alpha.glycerophosphorylcholine",-5.49554915355432,6.94570657005931e-05,0.0916251089281537,0.271162751497351
"CCDC18","beta.nicotinamide.adenine.dinucleotide",-5.2976184127315,3.27382717758697e-05,0.061041053139522,0.306482253855917
"EDEM3","X.3439",-5.18746146100638,7.99732456828714e-07,0.00593273211639952,0.372356395746737
"RHOT2","X.4046",-5.12720256589417,4.22124286518148e-05,0.0712337090857639,0.314028478698762
"ZNF101","X.3439",-5.1014818012784,2.54349505303371e-06,0.0124500512064608,0.344944432000849
"LOC100190986","beta.nicotinamide.adenine.dinucleotide",-5.00495312854405,5.65299065598374e-05,0.0831693857382851,0.310510133790664
"SEC11C","beta.nicotinamide.adenine.dinucleotide",-4.95667648911295,2.15114537623151e-05,0.0477771873527176,0.309686636983732
"ZNF101","beta.nicotinamide.adenine.dinucleotide",-4.91642075016555,1.12243232617523e-05,0.0321591760993355,0.328263415474752
"FARSA","beta.nicotinamide.adenine.dinucleotide",-4.87427028320995,2.37750838139577e-05,0.050593378356102,0.309304024495277
"COPE","X.2757",-4.86503845298967,5.31468398829436e-05,0.0804057050490739,0.275191747682473
"ELF1","X.2757",-4.76083785996757,5.39017524769443e-09,0.000141223837772888,0.486588310473817
"SEC11C","X.3439",-4.75835834421895,3.21049726218115e-05,0.0603173885973822,0.284180937079546
"IFT140","X.2757",-4.7290992163581,4.04878642264312e-05,0.0694620416158439,0.282057099867999
"MIR6884","X.2041",-4.70762054319246,8.18766373497705e-05,0.0995486377459934,0.25598704755028
"LOC101060275","X.2757",-4.62515917547341,2.97612918469901e-05,0.0578709660563454,0.297235633452426
"SEC63","X.2757",-4.62376389600064,2.15587723847647e-05,0.0478147108600627,0.326946583300055
"XIST","sn.Glycerol.3.phosphate",-4.60686869213096,3.92922909151107e-05,0.0680541878079738,0.281845328897477
"GPR63","beta.nicotinamide.adenine.dinucleotide",-4.5559085750204,1.5340601488641e-05,0.0386941702456726,0.365927872058197
"AKR7A3","phosphoenolpyruvate",-4.5428375549808,6.66136730272192e-06,0.0232616177896837,0.415320468719121
"NTRK3.AS1","X.1288",-4.47132774573283,2.93844490167269e-05,0.0573843726803864,0.287061569033332
"RBBP8","beta.nicotinamide.adenine.dinucleotide",-4.34152006025801,3.40390428540545e-05,0.0624642620251019,0.289246611618089
"LRCH1","X.2690",-4.2528703051246,7.83031794444892e-06,0.0257406447253935,0.332516399287528
"EDEM3","X.2757",-4.24469755883594,8.25591571343921e-07,0.00606376496516676,0.376944188971659
"MCRS1","X.3094",-4.19285812126169,2.02512367966542e-05,0.046097362059366,0.476761754920873
"LOC101060275","X.1677",-4.16135135467623,1.16697460470093e-05,0.0329973535386877,0.311249322597843
"CDK14","X.1288",-4.1234137408754,3.50815950872056e-05,0.0637579154595315,0.29269817896137
"CCDC18","X.2757",-4.08437736323652,7.07363401209393e-05,0.0927458387867441,0.277625468445989
"INTS6","L.alpha.glycerophosphorylcholine",-4.00119986667731,4.61977645964781e-05,0.0746652067205373,0.278977015014452
"XPO4","L.alpha.glycerophosphorylcholine",-3.97799529671614,1.24959639621887e-05,0.0341709731322497,0.307498705785258
"LOC100190986","X.2757",-3.94547720849557,3.64609032974776e-05,0.0653660128761134,0.361099227161438
"METAP2","L.alpha.glycerophosphorylcholine",-3.79794908766833,2.77708661980987e-05,0.0552802013468662,0.293192342883296
"NAGPA","X.2027",-3.77913039028436,7.74594613700389e-05,0.0970414187352938,0.285691202293226
"PMS1","X.2064",-3.73571461044157,3.75858889599049e-05,0.0665481655215717,0.329878412147152
"GPR63","X.2757",-3.72629626411074,8.95220703633703e-06,0.0279833864130958,0.371022500165632
"TSHZ1","beta.nicotinamide.adenine.dinucleotide",-3.69178842667995,1.03026188575385e-05,0.0305528281501169,0.318901078513657
"ORC2","X.2041",-3.67887348374501,3.95135191668539e-05,0.0682547856388906,0.277227887269334
"PMS1","X.3094",-3.64697724188712,1.65381146593586e-05,0.0404665288659923,0.426995930585545
"CARF","X.4523",-3.62744657926688,1.2747699336249e-06,0.00806993462562227,0.40754051098002
"GNAI2","phosphoenolpyruvate",-3.626439919978,4.08519647896286e-05,0.0697428435721515,0.400626451981279
"DDX46","Kynurenic.acid",-3.62280080263638,4.70177974338509e-05,0.0754388493311751,0.322558906211596
"ZNF101","X.2757",-3.5831050254192,7.81241216281444e-05,0.0974402138271628,0.276453484257804
"ZNF646","N.acetylneuraminic.acid",-3.56971664346347,3.33631894261913e-05,0.0616483191686636,0.453613429999396
"EDEM3","X.1677",-3.53206312205446,2.22825861661619e-06,0.0113737546576793,0.351314606662475
"TMEM33","X.1288",-3.49417232514868,6.1985089837372e-05,0.0865738677665471,0.292782359463225
"TMEM87B","X.2027",-3.42562066811304,7.73742276665157e-05,0.0969614374593187,0.310582778767858
"ANGPTL6","beta.nicotinamide.adenine.dinucleotide",-3.42248481656737,1.96765977891176e-08,0.000367024420587927,0.469938174227345
"LOC100190986","X.1677",-3.39106847770198,5.38596741946265e-05,0.0808901635657826,0.324650774143994
"GDI2","X.2041",-3.39105169212281,1.76082393237317e-05,0.0418520240630936,0.324389666573884
"CTSA","sorbitol",-3.33068985209312,1.83393312014516e-05,0.0429751455443587,0.324302488545151
"YAF2","X.1288",-3.32603663976821,6.55097611721182e-05,0.0888486426927558,0.265170562440311
"MLLT10","X.3138",-3.28261165306637,4.67401915078557e-05,0.0751342946155535,0.339984103599524
"DNMT1","X.2757",-3.2311146304965,4.36780958513813e-05,0.0723997608048527,0.291245969088513
"F13A1","X.4019",-3.1781055301634,4.86500781778759e-05,0.0768338990774103,0.337478152865061
"FH","X.2757",-3.15915698356894,8.09268140441988e-05,0.0991975410790528,0.264055094395738
"CLECL1","beta.nicotinamide.adenine.dinucleotide",-3.12175962175165,4.58650487540003e-05,0.07437439981467,0.278145829520501
"LINC01206","X.2005",-3.11689514332035,1.53268226683047e-05,0.0386809407011495,0.36339038802808
"ZNF101","X.1677",-3.11330751775246,7.20818615665349e-05,0.0936116809696565,0.266088855475664
"ATP5G2","N.acetylneuraminic.acid",-3.1004784161136,1.57399682789913e-05,0.0392429096920171,0.450965003828675
"CXorf65","inosine",-3.0996294996509,6.66214445288531e-05,0.0895524983182861,0.465414091098561
"MED18","DL.cystathionine",-3.08314223609742,5.8300245645714e-05,0.0842282543080612,0.308755920427817
"ABHD3","beta.nicotinamide.adenine.dinucleotide",-3.06409547458809,3.56114498808098e-06,0.0155355035791871,0.349910113352806
"NUP98","X.2725",-3.06383600373772,4.8405083052776e-05,0.0767576845536506,0.3188359228116
"ELF1","X.1677",-3.04743900344487,5.93265019616836e-05,0.0850775206662992,0.274789131224698
"CLECL1","X.3439",-3.04501270837128,4.1816046901117e-05,0.0707756112120533,0.274414482381071
"C19orf54","serine",-3.04379402192693,3.02746975850412e-05,0.0585806725769537,0.340251131953011
"CARF","N.acetylneuraminic.acid",-3.04359689462443,3.43854138409889e-05,0.0627786854969123,0.451899865242129
"LOC101060275","X.4523",-3.0059445426841,7.35605406324396e-05,0.094400749969485,0.28751045270122
"PIP4K2A","beta.nicotinamide.adenine.dinucleotide",-2.95246094928741,5.71060118008473e-05,0.0835509984922507,0.273739394627753
"CHD4","X.3094",-2.95061883373084,2.00082360627658e-05,0.0458042932597936,0.438508155461556
"DDX46","X.2724",-2.91654003222596,6.41800233764341e-05,0.0879664170417176,0.294010972866847
"UXT","serine",-2.91329723809156,3.78561532094009e-05,0.0668699588008803,0.392712616133807
"ORC1","beta.nicotinamide.adenine.dinucleotide",-2.90812125248623,4.94158208453854e-05,0.0773044224480866,0.278056006615502
"CDK14","L.alpha.glycerophosphorylcholine",-2.90782818654854,2.81649218465088e-06,0.013318105856453,0.37609774343695
"TERF2IP","serine",-2.9034806748736,7.30136380988613e-05,0.0941010217630834,0.320448403503748
"DCAF7","tryptophan",-2.87991127957256,8.01205241213152e-05,0.0988452619633201,0.259964766865922
"F13A1","Kynurenic.acid",-2.8552786609304,3.31912172433053e-05,0.0614809313141379,0.351925934250702
"UXT","X.4043",-2.75726639422572,2.43106728702364e-05,0.0512995941706463,0.439858839638518
"NFKBIA","X.2027",-2.75568293644988,7.95535838961427e-05,0.0984405559680623,0.261550029101852
"CHAMP1","L.alpha.glycerophosphorylcholine",-2.75092571885912,3.68437709875955e-06,0.0158744819514463,0.366252075367567
"F13A1","X.1111...possible.methylnitronitrosoguanidine.or.ethyl.thiocarbamoylacetate",-2.73167500343378,5.96765486153822e-05,0.0852699731681753,0.331794734815165
"POT1","serine",-2.73086908216386,6.56587967993004e-06,0.0230882613440171,0.383598078554327
"CHERP","X.3091",-2.71876752909328,7.5500641600008e-05,0.0956448373789437,0.371011386145689
"PCNA","X.2725",-2.70686575689877,4.73525792949283e-05,0.0758685737063852,0.319373129005368
"MGA","inositol.1.phosphate",-2.68930430872407,1.10423471844014e-06,0.0073821511123754,0.569869079796559
