"Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"LUC7L3","X.2041",-2.68487083918355,7.96311766385267e-05,0.0984827984935475,0.258803303565021
"UXT","tyramine",-2.67046840438021,3.09498899520742e-05,0.0590766069127368,0.435918460002697
"C12orf77","L.alpha.glycerophosphorylcholine",-2.66974053872206,5.25525954274189e-05,0.0798052345193806,0.268085022592736
"NUDT5","X.2041",-2.66449545632561,5.51299158649666e-05,0.0819127929103322,0.277979166452523
"ANGPTL6","X.3439",-2.65411643105688,3.1718012058539e-05,0.0600026419770519,0.281911230669759
"F13A1","N.acetylneuraminic.acid",-2.64059000017131,3.03215515347612e-05,0.0585806725769537,0.436467723569376
"TERF2IP","tyrosine",-2.61312188399623,3.28565336611624e-05,0.0611107257833118,0.309670021887524
"GALK2","X.4116",-2.60868871203142,6.46886101416427e-05,0.088369554512482,0.273989671029455
"PRPS1","serine",-2.58671111714869,3.55420681982823e-05,0.0643950873989658,0.336109189369439
"UXT","valine",-2.55990119353112,2.03597330288916e-05,0.0461806744508476,0.450323055233112
"ILF2","inositol.1.phosphate",-2.53263745620778,9.78260829840718e-06,0.0296397337417729,0.558104125944855
"FAM222B","Isobar.4.includes.Gluconic.acid..DL.arabinose..D.ribose..L.xylose..DL.lyxose..D.xylulose",-2.52392597151614,6.68093263120456e-06,0.0232940480626946,0.385825356566915
"METTL18","X.3091",-2.51708266148451,6.08359530939187e-05,0.0858522739554767,0.367855972277098
"INSL4","taurine",-2.51111339837587,7.33972538540844e-05,0.0942979956658665,0.344711469476092
"DNMT3L","Isobar.27.includes.L.kynurenine..alpha.2.diamino.gamma.oxobenzenebutanoic.acid",-2.50470305594668,4.5723714402356e-05,0.0742828447486362,0.358425432915477
"ANGPTL6","X.2757",-2.50340327753566,5.23161027204722e-07,0.00443233756700787,0.400520332006232
"MTMR6","L.alpha.glycerophosphorylcholine",-2.49228917580597,6.4089457405153e-05,0.0879486643090805,0.263186104785847
"EDEM1","serine",-2.48247993991568,1.52079395799794e-05,0.0384665821751105,0.376752350828526
"MIR1909","inositol.1.phosphate",-2.48139492902049,2.5684611107009e-06,0.0124872422137998,0.547683440903968
"SART3","X.3091",-2.47037330103427,2.45133834784432e-05,0.0513686280581279,0.432171513899597
"ATP5L","X.3091",-2.46534700260099,4.53755330188278e-05,0.0738230279908326,0.405249411412368
"CDH26","Isobar.4.includes.Gluconic.acid..DL.arabinose..D.ribose..L.xylose..DL.lyxose..D.xylulose",-2.46093418515621,7.83956763820654e-07,0.00583480096217413,0.413047955208855
"GDI2","X.2064",-2.43679636193587,1.05355281788469e-05,0.0309486431915544,0.356034372743111
"LCP2","uracil",-2.43660748437756,6.03737350071786e-05,0.085637336973843,0.436366315582989
"LOC284933","N.acetylneuraminic.acid",-2.43301529303523,3.54962849047127e-05,0.0643567523241989,0.427269368182062
"BRPF1","X.3094",-2.41606541721474,3.96829697434319e-05,0.0684496478972978,0.449563142995042
"HEATR1","beta.nicotinamide.adenine.dinucleotide",-2.41469580354056,6.0857106723443e-05,0.0858522739554767,0.272798790733435
"ABHD13","L.alpha.glycerophosphorylcholine",-2.4139342469808,8.00533748171586e-05,0.0987893081489915,0.341363057985934
"SACM1L","serine",-2.4107374646677,1.47420643330486e-05,0.0375302648806898,0.359114893784526
"TMEM33","L.alpha.glycerophosphorylcholine",-2.39786478866168,2.15135637039113e-05,0.0477771873527176,0.307863924352748
"ORC1","X.2757",-2.38986041031122,2.50937300774832e-05,0.0520553064981251,0.294344977588063
"HS3ST4","X.3094",-2.38448450511532,6.64847607470327e-05,0.0894780802394508,0.387260608645103
"ABHD3","X.2757",-2.36548361406506,8.43029397407471e-06,0.0269094983652465,0.325462128066544
"STK26","X.2757",-2.3536372611081,5.37446255795201e-05,0.080861217403665,0.312184594085541
"NGLY1","serine",-2.35362953692708,2.80432155491118e-05,0.0554815295652821,0.360661078593366
"CHD4","cholesterol",-2.35311378699209,7.44163824552409e-05,0.094907898641509,0.463101268892531
"ANGPTL6","X.3176...possible.creatine",-2.35167074996124,7.16357299757341e-05,0.0933848073388586,0.282065076102143
"MPHOSPH9","inositol.1.phosphate",-2.33126534320408,4.44714341834987e-05,0.0731131670067078,0.530016434730574
"RPP25","X.2027",-2.30490859305884,1.08999441650003e-05,0.0316094196545407,0.327572514172283
"CTCF","X.3094",-2.28129123120858,1.87959898249226e-05,0.043757296004128,0.536031902943512
"TTTY13","X.3094",-2.27947410813506,5.55249917748376e-06,0.0206290818621557,0.448352097294793
"RPA2","serine",-2.26592515900805,6.53153024821476e-05,0.0887176363927724,0.407653295622516
"LOC101060275","X.3094",-2.25857877796612,2.3303407053589e-05,0.0499884111389334,0.436699917108823
"SLC7A3","X.3094",-2.25309294694491,1.53838214706846e-05,0.0387600469988236,0.474432859335237
"CCDC150","aspartate",-2.25200654286215,4.77212287996048e-05,0.0761785107990856,0.271348911700112
"RMND5A","X.4523",-2.24854992497094,3.09778118673874e-05,0.0590956520128766,0.308600110911484
"SNRK","serine",-2.23220398396958,8.18274121284073e-05,0.0995183059650398,0.386351153316689
"PPP6C","X.3094",-2.17097921150369,8.15939989881613e-05,0.0994672988852918,0.385071520538323
"TERF2IP","X.3091",-2.16248339018809,8.36739767656759e-06,0.0267938028483823,0.42814703842078
"UXT","phenylalanine",-2.13371376709732,8.07722240874038e-05,0.0991975410790528,0.436521158114046
"GLOD4","X2..deoxyuridine.5..triphosphate",-2.12104189187323,3.92699624730203e-05,0.0680461642177169,0.321071606782023
"MPHOSPH9","X.3091",-2.12102027382503,2.72998109318316e-05,0.0546870749896965,0.443239867757542
"GDI2","X.3094",-2.11143157639426,5.79009784365373e-05,0.0839821730881876,0.403301004056297
"ABCB7","serine",-2.10243630904918,2.18343354228335e-05,0.0481357889644708,0.414537016789919
"HNRNPF","X.3091",-2.09515457821635,1.17048249241711e-05,0.0330589825751423,0.437720051412246
"RDH11","X.3091",-2.09209027655885,6.74243705569055e-05,0.0901239749221622,0.363899342812629
"CBFB","X.3094",-2.0881763818343,5.66513553069023e-05,0.0833160931597268,0.443745808581192
"DLEU2","beta.nicotinamide.adenine.dinucleotide",-2.07950258526247,6.76117404067112e-05,0.0903211550359787,0.267617757485793
"PAPLN","X.2005",-2.06119100078637,7.03367117156315e-06,0.0241158088495265,0.411099936473457
"CNOT6L","inositol.1.phosphate",-2.05450692427954,4.40200058566882e-05,0.0726344518916124,0.535896453898369
"TTTY13","inositol.1.phosphate",-2.05152083300234,1.1777300604428e-05,0.033156685597301,0.509608631576979
"USP49","inositol.1.phosphate",-2.04770666465632,5.12303102355076e-05,0.0789502162273031,0.509382717985431
"SRSF10","X.3094",-2.04599095795537,7.43710838192056e-07,0.00564675604560037,0.540057244024772
"IGHG4","X.3094",-2.04492230280507,6.19589569628581e-05,0.0865738677665471,0.421282688077653
"NFATC3","inositol.1.phosphate",-2.04414948511666,1.19082440854283e-07,0.0015077034489211,0.685410457821581
"SPRTN","inositol.1.phosphate",-2.04373695536757,5.75170259170313e-05,0.0837809409758023,0.489860182526432
"XRCC6BP1","X.3094",-2.03292537778757,4.06281254341604e-05,0.0695440583337964,0.457767182538495
"INTS12","X.3091",-2.02373731186328,6.49368744956446e-05,0.0885496150811618,0.414885464780553
"F13A1","X.2064",-2.01094205526006,8.21434234750309e-05,0.0997314426722481,0.321342958209376
"RFC1","X.3094",-2.00675687990428,3.6795330082866e-05,0.0657649782913255,0.47074637799407
"PIP4K2A","X.1677",-2.00339320376843,5.70831495146546e-05,0.0835445162467239,0.281863798290833
"SRBD1","X.3091",-1.99633876240372,3.72376663711267e-06,0.0158945563697065,0.481416721165377
"XRCC6BP1","inositol.1.phosphate",-1.99516831406548,7.21978412200917e-06,0.0245128706387893,0.574688841469359
"PPP6C","inositol.1.phosphate",-1.99424020291452,6.20845708356804e-05,0.0865886814989685,0.497275535869655
"LRRTM1","sn.Glycerol.3.phosphate",-1.99266347640025,3.82026018976943e-05,0.0671938849303706,0.277793085232517
"CSNK2A2","inositol.1.phosphate",-1.9891031840286,6.75676453183805e-06,0.023415743315958,0.556590627984298
"F13A1","X.3094",-1.98219351088381,1.21086082885917e-05,0.0336242291157495,0.487517917307167
"ILF3","X.3091",-1.98128936231415,3.20055801641751e-05,0.0603173885973822,0.462051206616804
"LOC101927770","alanine",-1.9652082228905,6.95962729172351e-05,0.0917019914173188,0.270196441591083
"GGA1","X.3394",-1.95692748896876,6.8304445454084e-05,0.0908715766489578,0.275336305839483
"ANP32B","X.3091",-1.95254796131554,6.05601634036072e-05,0.0857233079373521,0.471999279054569
"RFC1","inositol.1.phosphate",-1.9489720633915,1.9468604540074e-05,0.0450225386135311,0.536642824967383
"SRSF10","X.2064",-1.94368915797645,2.68571577363594e-05,0.0540558736421547,0.37851047701766
"HMGB1","L.alpha.glycerophosphorylcholine",-1.9365788490558,6.1546679035238e-05,0.0862785857407667,0.289358551805409
"WDR5B","X2..deoxyuridine.5..triphosphate",-1.9358828957293,4.797336935629e-05,0.0763772437228993,0.314437531286592
"PAN2","N.acetylneuraminic.acid",-1.93321916056607,8.53779204022504e-06,0.027062054344899,0.495192149736017
"ANGPTL6","X.1677",-1.92465023442532,1.56446714250769e-05,0.03909132496591,0.305834995338287
"PGBD5","beta.nicotinamide.adenine.dinucleotide",-1.92237365213774,6.619120903181e-05,0.0893717371778204,0.277228792478038
"ABHD3","X.1677",-1.91943378329314,3.37577068985954e-05,0.0622251047567504,0.284976090900197
"BUD13","inositol.1.phosphate",-1.91064204194548,5.41795212549932e-06,0.0202787997705394,0.574846407862722
"SLC7A3","inositol.1.phosphate",-1.90828335187026,4.13817504548066e-05,0.0703061406964656,0.570066939772525
"RBBP8","X.3094",-1.86968234546474,1.04387401565676e-06,0.00710788129693987,0.513535289795238
"POLE3","X.3091",-1.85591125629112,4.27536683496894e-06,0.0174224559975079,0.473365842645695
"CBFB","X.3091",-1.85457004027863,4.76876121104774e-06,0.0186932254546363,0.502663569551441
"THOP1","inositol.1.phosphate",-1.84611951970735,6.12885776051273e-05,0.0861916590946756,0.532353130534188
"RFC1","X.3091",-1.84395530632948,2.36534711294525e-06,0.0118205809680487,0.502754243592214
"GPS2","X2..deoxyuridine.5..triphosphate",-1.83349337409592,1.13685135100551e-05,0.0325517239900292,0.351518844193884
"TSGA10","X.2005",-1.83030673840799,2.24171621304762e-05,0.0488035186162736,0.354564228108842
"RNPC3","X.3091",-1.82361954294737,6.54491551440908e-05,0.0887930136403208,0.419881509978862
"JKAMP","X.2.Aminoethyl.phosphonate",-1.80252162785643,4.43369709639294e-05,0.0729830963790008,0.353717312683334
"RBM10","X.3094",-1.78835192234245,1.22809916329467e-05,0.0338596799970557,0.432797547486431
"GRAMD4","X.3091",-1.78507402677632,5.83105441137131e-05,0.0842282543080612,0.369702767217115
"KMT2D","inositol.1.phosphate",-1.77400327454275,4.01365087023182e-05,0.0690636522956272,0.511944088453798
"SNRPF","X.3094",-1.77132988432746,1.46317194117865e-05,0.0373425206501352,0.453396335390003
"CCDC7","X.3816",-1.76980089113734,6.78615633465489e-05,0.090468246025618,0.507137087514947
"RBM10","X.2064",-1.76833374397692,6.19989177985041e-05,0.0865738677665471,0.314935018289629
"TMEM33","sn.Glycerol.3.phosphate",-1.75574716240878,4.50815218534708e-05,0.0736089010136585,0.273593726384612
"OSBPL2","X.3380",-1.75277557433987,6.40870702706478e-05,0.0879486643090805,0.497609367473204
"TSPAN8","X.2027",-1.74636943308066,3.24576778127548e-05,0.0607582354140016,0.293127399210418
"RCC2","tetradecanoic.acid",-1.74414638795036,1.50539623065024e-06,0.00899231604014157,0.385714662644234
"LINC01000","allantoin",-1.74063924673648,3.18775991819158e-06,0.0144999397393553,0.347436115170811
"SLC7A9","X2..deoxyuridine.5..triphosphate",-1.73333690984701,3.92726458738279e-05,0.0680461642177169,0.326428920316155
"ZNF101","X.3094",-1.72507224992738,3.671970555487e-05,0.0656557026375645,0.47491381419009
"PROSER1","inositol.1.phosphate",-1.69671510995107,2.73761164155609e-05,0.0547599648322277,0.508904678433499
"CRLF3","X.3091",-1.69188887111331,1.9866309441628e-05,0.0455933310518992,0.438675036122856
"ZNF101","inositol.1.phosphate",-1.68488089541041,2.40154521378871e-06,0.0119619119756344,0.633769864364752
"SRSF10","cholesterol",-1.68351434327795,3.46590048069436e-07,0.0032796824957859,0.63387419390344
"ELF1","X.3094",-1.67926775723297,5.98988977080354e-05,0.0854801690461667,0.437330095794634
"VBP1","X.3091",-1.66867591892829,7.75492576009775e-05,0.0970466225766137,0.376321618605805
"SUV39H1","X.3091",-1.66777280845408,3.20760406612046e-05,0.0603173885973822,0.398352678090127
"RFWD3","tyrosine",-1.66181175933693,5.77722745355843e-05,0.083956692033014,0.302572064936302
"NFATC3","X.3091",-1.6488513956472,4.07172047950387e-06,0.0168698748758852,0.558111141349208
"KLHL29","X.2690",-1.64820843998958,6.28991777573089e-05,0.087159684827236,0.268755985922313
"FARSA","inositol.1.phosphate",-1.64396464914664,7.16272550443157e-05,0.0933848073388586,0.49877441747634
"MCRS1","X.1736...retired...p.hydroxybenzaldehyde",-1.62981676124232,5.1391184527306e-05,0.0789502162273031,0.436998534633016
"NUDT21","inositol.1.phosphate",-1.62066296876709,7.25613806540115e-05,0.0939066267801481,0.517519856036703
"PHLDA1","X.2690",-1.59749213916436,6.70349045980205e-05,0.0898684087480543,0.268469709745628
"EDEM1","X.3091",-1.59727855409951,6.19623681502762e-05,0.0865738677665471,0.383210720148911
"DCAF12","inositol.1.phosphate",-1.59589651260386,5.94732192502527e-05,0.0851186272505416,0.489967584784602
"TOPBP1","cholesterol",-1.59088067090811,4.23630058628575e-05,0.0713769314511367,0.490612601009505
"POLE3","cholesterol",-1.58349469771137,4.3721603990466e-05,0.0723997608048527,0.581628441482138
"ZNF675","X.3138",-1.5538407304169,5.28881654137997e-05,0.0801597733326319,0.277253522093174
"SMIM8","X.3091",-1.55209226835163,2.56689168426355e-05,0.0526859445635272,0.399518969297124
"OSTF1","X.3091",-1.54113067120773,1.37740497034078e-05,0.0362349440787315,0.408169187166495
"MYO15B","X2..deoxyuridine.5..triphosphate",-1.52587913248788,1.78853232816168e-06,0.00987135051378033,0.391479823859221
"ATF1","X.3091",-1.52113606856593,3.40191658474066e-05,0.0624530708329644,0.430252983646433
"SRSF10","inositol.1.phosphate",-1.52027235236282,8.23151727299589e-05,0.0998140836069344,0.557791155564169
"SNRPF","X.3091",-1.51748161053345,2.42525154612477e-06,0.0120667312492064,0.497520688469437
"SACM1L","X.3091",-1.51296468164519,6.52970425920071e-05,0.0887176363927724,0.389923873536287
"LGALS3BP","X.2690",-1.50311018106859,6.47274714275221e-05,0.0883960006300824,0.302977952705366
"RBBP8","inositol.1.phosphate",-1.49800220802273,3.08700834938353e-05,0.0590766069127368,0.539171050631385
"APOM","n.dodecanoate",-1.49692900049916,6.92246267544987e-06,0.0238836841212416,0.388510794597914
"JAKMIP2","X.3816",-1.49027385957114,2.71361465613066e-06,0.0129935899824147,0.466607886616178
"NDUFA7","X.3091",-1.48647524497659,6.43635741509363e-05,0.088164675351919,0.411508269945232
"BTBD3","X.2005",-1.48010941445299,7.70704807339007e-05,0.0967147998150692,0.326071578280219
"ZNF276","X.3091",-1.47099087297527,3.03191253515557e-05,0.0585806725769537,0.397277836761518
"LAG3","X.3094",-1.47058271889427,2.30100867460931e-05,0.0495855105246973,0.43024825415318
"DCAF8","X.3358",-1.46993076826742,1.30360220786662e-05,0.0350344939492101,0.326465503184445
"BTNL3","X.1391",-1.46938297620102,6.00685764465286e-05,0.0855051110379622,0.373218245858239
"WWOX","X.3091",-1.4573521260336,3.62790236066026e-07,0.003385230880389,0.510807481667856
"CHD4","n.hexadecanoic.acid",-1.45386126218289,8.96428506826378e-06,0.0279833864130958,0.420583011585859
"TAF5","X.3091",-1.45220214772355,1.38750868381851e-05,0.0364165973911892,0.429207682709657
"WWOX","X.3094",-1.4474109132973,6.0071541922343e-05,0.0855051110379622,0.44175903738143
"CAPNS2","X.1391",-1.4445104442205,9.14945714084486e-07,0.00649001493190595,0.455962940138571
"TMIGD2","inositol.1.phosphate",-1.43166619570017,1.05329166947189e-05,0.0309486431915544,0.559467325043932
"HMGCS1","inositol.1.phosphate",-1.42789064329971,6.07632419218056e-06,0.0219982348933269,0.569381294950369
"HTATSF1","X.3091",-1.42327095978369,1.81842644966203e-05,0.0427725607825434,0.448524952891281
"ORC6","X.3091",-1.42219508078531,5.22155681034893e-06,0.0198942234036307,0.4670741932777
"SRSF10","X.3091",-1.42066080839573,2.76250394394078e-05,0.0551119536816185,0.491195590182209
"DNMT1","X.3091",-1.41947362461047,2.52868081360255e-06,0.0124393734439346,0.48036458275004
"H1FX","X.3094",-1.41480724085483,1.38812335186183e-05,0.0364165973911892,0.482931629408551
"TMEM220","X.2005",-1.4078907034605,3.70333421767531e-05,0.0659822358820904,0.352338572681562
"CCDC150","X.3094",-1.39892990567157,1.58116613828912e-05,0.0393351091386103,0.433808126400183
"CYLC1","X.1391",-1.39427698079339,1.78836715416954e-05,0.0422188775920575,0.389638229459682
"HIST1H1D","serine",-1.39401407373502,5.22797672678687e-05,0.0795987115582911,0.374629112225211
"SSBP3","inositol.1.phosphate",-1.39349030821244,1.1054372018555e-05,0.0319211315360945,0.537045676476545
"RBM10","X.3091",-1.39178131755978,2.29957104534158e-05,0.0495855105246973,0.43090515621521
"PAK4","X2..deoxyuridine.5..triphosphate",-1.38615750419711,1.60353181616866e-06,0.00936538285047873,0.395136004439737
"SEMA4G","X2..deoxyuridine.5..triphosphate",-1.38597685581433,1.30531801417857e-08,0.000275187750873784,0.497353504879871
"COPS3","cholesterol",-1.37822387604698,7.65064704103147e-05,0.0963267466779468,0.472188085097174
